FAQID,ClubFAQRef,ClubVersion,Question,Answer,Location,Key,Version
11,1991,0,مبلغ برخي از عوامل به طور كامل و بدون در نظر گرفتن فرمول تعريف شده در تنظيم عوامل محاسبه ميشود. علت چيست؟,در فرم تنظيم عوامل، براي عامل مورد نظر، تيك  محاسبات كامل با كمترين مقدار كاركرد  فعال است. از اين رو كاركرد بر محاسبه اين عوامل موثر نبوده و مبلغ به طور كامل محاسبه ميشود.,تنظيم عوامل,Payroll/ElementControl,0
12,2002,0,آيا ميتوان محاسبه ماليات و بيمه از حاصل جمع مزايا منهاي كسور محاسبه نمود؟,در محاسبه ماليات و بيمه، تنها مزايا در نظر گرفته مي شوند. چرا كه ممكن است تمام مبلغ مزايا به عنوان كسور  براي مثال: مساعده  قبلا پرداخت شده باشد و در چنين شرايطي بيمه و ماليات محاسبه شده عدد  0  خواهد بود. كه اين روال صحيح نيست.,تنظيم عوامل,Payroll/ElementControl,0
13,815,0,هنگام محاسبه حقوق پيغام    attemped divided by zero  بيانگر چيست؟,در صورتي اين پيغام نمايش داده مي شود كه در تنظيم عوامل براي يكي از فرمول هاي محاسبه، مخرج كسر عدد صفر يادداشت شده باشد، بنابراين مي بايست در منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت عمليات گزينه  تنظيم عوامل  فرمول تك تك عوامل بررسي و اصلاح گردد.,تنظيم عوامل,Payroll/ElementControl,0
14,984,0,علي رغم تنظيمات صورت گرفته در تنظيم عوامل، مبلغ محاسبه شده براي برخي عوامل بدون در نظر گرفتن كاركرد وي مي باشد. علت چيست؟,از منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت عمليات گزينه  تنظيم عوامل  را انتخاب كرده و در تنظيم عوامل گزينه موجود در ستون  محاسبه كامل با كمترين مقدار كاركرد مرتبط  را غير فعال نمائيد. در صورتي كه براي عامل مورد نظر اين گزينه فعال باشد محاسبات با كاركرد كامل در نظر گرفته مي شود.,تنظيم عوامل,Payroll/ElementControl,0
15,543,0,چگونه مي توان مشمول بيمه/ماليات بودن عامل حقوق را تنظيم نمود؟,جهت مشمول بيمه/ماليات نمودن عوامل حقوقي با طبقه مزايا مي بايست به ترتيب ذيل عمل نمود:   1- از منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت عمليات گزينه  تنظيم عوامل  را انتخاب نمائيد.   2- در صفحه باز شده براي عوامل مورد نظر جهت محاسبه حق بيمه بر مبناي آنها، گزينه  مشمول بيمه  را فعال نمائيد.   3- سپس در صفحه جاري براي عوامل مورد نظر جهت محاسبه ماليات بر مبناي آنها، گزينه  مشمول ماليات  را فعال نمائيد.,تنظيم عوامل,Payroll/ElementControl,0
16,477,0,چگونه ميتوان فرمول محاسبه يك عامل از طبقه  قراردادي  را تنظيم نمود؟,در صورت نياز جهت تنظيم فرمول محاسبه براي يك عامل از طبقه  قراردادي  مي توان به روش ذيل عمل نمود:   براي مثال: تعيين فرمول محاسبه  حقوق پايه  با فرمول   (30/((حقوق پايه) * (كاركرد روزانه - غيبت)))     1- از منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت عمليات گزينه  تنظيم عوامل  را انتخاب نمائيد.   2- در صفحه باز شده در سطر عامل حقوق پايه از قسمت  عوامل قراردادي  ستون  حقوق پايه  را مي بايست فعال نمود.   يادداشت 1: با اين عمل (حقوق پايه) صورت مي گيرد.   3- سپس از ستون  كاركرد روزانه  عدد  1  و از ستون  غيبت  عدد  1-  را مي بايست يادداشت نمود.   يادداشت 2: با اين عمل ((حقوق پايه) * (كاركرد روزانه - غيبت)) صورت مي گيرد.   4- به دليل اينكه عامل كاركرد منتخب  كاركرد روزانه  از نوع  كاركرد-روز  مي باشد، لذا  مبناي محاسبه  را مي بايست روزانه تعيين نمود.   5- به دليل عدم وجود ضريب، در ستون  ضريب ثابت  عدد 1 را مي بايست يادداشت نمود.   يادداشت 3: با اين عمل هيچ تغييري در فرمول به وجود نمي آيد.   6- جهت تعيين مخرج فرمول نيز مي بايست نوع مخرج را  عدد ثابت  قرارداده و در انتها از ستون مخرج عدد  30  را يادداشت نمود.   يادداشت 4: با اين عمل (30/((حقوق پايه) * (كاركرد روزانه - غيبت))) صورت مي گيرد.,تنظيم عوامل,Payroll/ElementControl,0
17,488,0,در چه حالتي ميتوان مشخصات يك عامل را تغيير داد؟,در صورت نياز به ويرايش مشخصات عامل حقوقي مي بايست توجه داشت كه در قسمت تنظيم عوامل در فرمول محاسبه هيچ يك از عوامل شركت نداشته باشد.,تنظيم عوامل,Payroll/ElementControl,0
18,487,0,چگونه ميتوان فرمول محاسبه يك عامل از طبقه  محاسباتي  را تنظيم نمود؟,در صورت نياز جهت تنظيم فرمول محاسبه براي يك عامل از طبقه  محاسباتي  مي توان به روش ذيل عمل نمود:   براي مثال: تعيين فرمول محاسبه  اضافه كاري  با فرمول   (1/4*(220/((حقوق پايه+حق سرپرستي) * (كاركرد اضافه كاري))))     1- از منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت عمليات گزينه  تنظيم عوامل  را انتخاب نمائيد.   2- در صفحه باز شده در سطر عامل اضافه كاري از قسمت  عوامل قراردادي  ستون  حقوق پايه  و  حق سرپرستي  را مي بايست فعال نمود.   يادداشت 1: با اين عمل (حقوق پايه+حق سرپرستي) صورت مي گيرد.   3- سپس از ستون  كاركرد اضافه كاري  عدد  1  را مي بايست يادداشت نمود.   يادداشت 2: با اين عمل (حقوق پايه+حق سرپرستي) * (كاركرد اضافه كاري) صورت مي گيرد.   4- به دليل اينكه عامل كاركرد منتخب  كاركرد اضافه كاري  از نوع  كاركرد-ساعتي و دقيقه  مي باشد، لذا  مبناي محاسبه  را مي بايست ساعتي تعيين نمود.   5- جهت تعيين ضريب، از ستون  ضريب ثابت  عدد 1/4 را مي بايست يادداشت نمود.   يادداشت 3: با اين عمل (1/4*((حقوق پايه+حق سرپرستي) * (كاركرد اضافه كاري))) صورت مي گيرد.   6- جهت تعيين مخرج فرمول نيز مي بايست نوع مخرج را  عدد ثابت  قرارداده و در انتها از ستون مخرج عدد  220  را يادداشت نمود.   يادداشت 4: با اين عمل (1/4*(220/((حقوق پايه+حق سرپرستي) * (كاركرد اضافه كاري)))) صورت مي گيرد.,تنظيم عوامل,Payroll/ElementControl,0
19,530,0,هنگام محاسبه حقوق، نمايش پيغام    محاسبه حقوق در ماه قبل انجام نشده است، امكان محاسبه اين ماه وجود ندارد    بيانگر چيست؟,انجام محاسبات براي هر شخص با توجه به تاريخ صدور اولين قرارداد براي وي صورت ميگيرد. يعني چنانچه تاريخ صدور قرارداد كارمند 97/1/1 باشد و نياز به محاسبه در تاريخ 97/2/31 براي وي انجام گيرد سيستم هشدار ميدهد. جهت حل اين مسئله يا بايد تاريخ صدور قرارداد را به 97/2/1 تغيير داد، يا بايد ابتدا براي ماه اول محاسبات را انجام داده و سپس ماه دوم را نيز محاسبه نمود.,محاسبات حقوق,Payroll/Calculation,0
20,504,0,نحوه محاسبه عيدي تا پايان سال در سيستم به چه صورت مي باشد؟,شما ميتوانيد براي محاسبه عيدي در هر ماه پس از انجام محاسبه حقوق آن ماه اقدام به محاسبه عيدي تا پايان سال جاري نماييد، در اين حالت سيستم با فرض كامل بودن كاركرد افراد در ماههاي آينده محاسبه عيدي را تا پايان سال انجام ميدهد.,محاسبات حقوق,Payroll/Calculation,0
21,478,0,چگونه ميتوان سند حسابداري صادر شده محاسبات حقوق را  حذف  نمود؟,در منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت عمليات گزينه  محاسبات  را انتخاب نمائيد.   در صفحه باز شده از بالاي صفحه (سال/ماه) و نوع محاسبه را تعيين كرده و پس از انتخاب كارمندان، از بالاي صفحه گزينه  حذف سند حسابداري  را انتخاب نمائيد.,محاسبات حقوق,Payroll/Calculation,0
22,534,0,چگونه ميتوان حساب معين مرتبط با عوامل حقوق را ويرايش/تعيين نمود؟,جهت ويرايش/تعيين حساب معين به ازاي هر عامل حقوق مي بايست به ترتيب ذيل عمل نمود:   1- در منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت فهرست گزينه  عوامل  را انتخاب نمائيد.   2- در فرم باز شده از ستون  عنوان  نام عامل مورد نظر را جستجو كرده سپس كليك راست كرده  ويرايش  را انتخاب نمائيد.   3- در صفحه باز شده از قسمت مربوط به  حساب معين  با توجه به نوع عامل، عنوان هزينه مورد نظر را انتخاب نمائيد.   4- در صورتي كه حساب معين انتخاب شده تفصيل پذير باشد، مي بايست  طبقه تفصيل  آن را نيز يكي از گزينه هاي (مركز هزينه/طرف مقابل) انتخاب گردد.,محاسبات حقوق,Payroll/Calculation,0
23,666,0,هنگام محاسبه حقوق پيغام    مقدار محاسبه شده بيشتر از حداكثر يا حداقل مجاز است  بيانگر چيست؟,در صورتي اين پيغام نمايش داده مي شود كه در تنظيم عوامل براي يكي از فرمول هاي محاسبه، مبناي محاسبه بدرستي انتخاب نشده باشد.   مثال: اگر در فرمول محاسبه از كاركرد روزانه استفاده شده باشد، مبناي محاسبه نيز بايد روزانه باشد بنابراين در صورتيكه بجاي  روزانه  مبناي درصدي استفاده شده باشد، در مسير محاسبه پيغام مذكور نمايش داده خواهد شد.,محاسبات حقوق,Payroll/Calculation,0
24,1153,0,آيا در روش محاسبه ماليات به صورت تعديل ماهانه در سطح ماه، تعداد روز كاركرد موثر است؟,در اين روش كاركرد روزانه مد نظر قرار نميگيرد و مبناي محاسبه تعداد ماه است.,محاسبات حقوق,Payroll/Calculation,0
25,1154,0,محاسبه ماليات به روش تعديل ماهانه در سطح ماه چگونه است؟,1- ميانگين درآمد : ( مزاياي مستمر مشمول ماليات / تعداد ماه كاركرد )   ( مزاياي غير مستمر مشمول ماليات /  12 )   2- خروجي جدول براي كل درآمد = ميانگين درآمد  -   جدول ماليات  3-  خروجي جدول براي درآمد مستمر = ميانگين مزاياي مستمر -  جدول ماليات  4-  خروجي جدول براي درآمد غيرمستمر = خروجي جدول براي كل درآمد &ndash; خروجي جدول براي درآمد مستمر   5- ماليات كل تا پايان ماه محاسبه = خروجي جدول براي درآمد غيرمستمر  * 12  6- ماليات ماه جاري = ماليات كل تا پايان ماه محاسبه -   جمع ماليات تا ماه جاري,محاسبات حقوق,Payroll/Calculation,0
26,1172,0,مراحل محاسبه  ذخيره سنوات  براي هر كارمند چگونه مي باشد؟,جهت محاسبه  ذخيره سنوات  هر كارمند مي بايست به ترتيب مراحل ذيل عمل نمود:   1- در منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت عمليات گزينه  محاسبات  را انتخاب كرده و در صفحه باز شده از بالاي صفحه نوع محاسبات را  ذخيره سنوات  انتخاب نمائيد.   2- از بالاي صفحه اطلاعات (سال/ماه) را درج كرده سپس گزينه  به روز رساني ليست  را انتخاب نمائيد.   3- در اين قسمت ميتوان با استفاده از گزينه انتخاب چندگانه، كارمند مورد محاسبه را انتخاب كرده و در نهايت با استفاده از كليد ميانبر F3 يا از بالاي صفحه گزينه محاسبه را انتخاب نمود.   4- در كادر باز شده  تاريخ مبنا  را يادداشت كرده و در نهايت گزينه  ادامه را جهت محاسبه ذخيره سنوات انتخاب نمائيد.,محاسبات حقوق,Payroll/Calculation,0
27,1092,0,چگونه ميتوان محاسبات بازخريد مرخصي را معاف از ماليات و بيمه نمود؟,اين مسئله در نسخه نهايي سپيدار همكاران سيستم مرتفع گرديده است، لذا برنامه حسابداري را به نسخه نهايي بروز رساني نمائيد.,محاسبات حقوق,Payroll/Calculation,0
28,815,0,هنگام محاسبه حقوق پيغام    attemped divided by zero  بيانگر چيست؟,در صورتي اين پيغام نمايش داده مي شود كه در تنظيم عوامل براي يكي از فرمول هاي محاسبه، مخرج كسر عدد صفر يادداشت شده باشد، بنابراين مي بايست در منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت عمليات گزينه  تنظيم عوامل  فرمول تك تك عوامل بررسي و اصلاح گردد.,محاسبات حقوق,Payroll/Calculation,0
29,763,0,چگونه ميتوان تنظيم نمود در صورت محاسبه سنوات، ماليات محاسبه نگردد؟,در سيستم سپيدار براي سنوات ماليات محاسبه نمي شود .  در صورتي كه براي  سنوات  يك عامل از نوع مزايا تعريف شده باشد، مي بايست از قسمت تنظيم عوامل تيك مشمول ماليات غير فعال گردد.,محاسبات حقوق,Payroll/Calculation,0
30,861,0,مراحل برگشت از محاسبه انواع (حقوق ماهيانه، پرداخت عيدي و ...) براي هر كارمند چگونه مي باشد؟,1- در منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت عمليات گزينه  محاسبات  را انتخاب كرده و در صفحه باز شده از بالاي صفحه نوع محاسبات را انتخاب نمائيد.   2- از بالاي صفحه اطلاعات (سال/ماه) را درج كرده سپس گزينه  به روز رساني ليست  را انتخاب نمائيد.   3- در اين قسمت ميتوان با استفاده از گزينه انتخاب چندگانه، كارمند مورد نظر جهت برگشت از محاسبه را انتخاب كرده و در نهايت با استفاده از كليد ميانبر F4 يا انتخاب گزينه برگشت از محاسبه از بالاي صفحه اقدام به برگشت از محاسبه نمود.,محاسبات حقوق,Payroll/Calculation,0
31,855,0,هنگام انجام برگشت از محاسبه  حقوق ماهيانه  پيغام    به دليل وجود ساير محاسبات براي ماه جاري، امكان برگشت محاسبه حقوق اين ماه وجود ندارد  بيانگر چيست؟,در صورتي كه در (سال/ماه) تعيين شده، علاوه بر محاسبات حقوق ماهيانه محاسبات ديگري از قبيل محاسبه (پرداخت عيدي/ذخيره مرخصي و ...) صورت گرفته باشد اين پيغام نمايش داده مي شود بنابراين مي بايست ابتدا محاسبات (پرداخت عيدي/ذخيره مرخصي و ...) برگشت از محاسبه داده شوند سپس محاسبات حقوق ماهيانه انجام گيرد.,محاسبات حقوق,Payroll/Calculation,0
32,2002,0,آيا ميتوان محاسبه ماليات و بيمه از حاصل جمع مزايا منهاي كسور محاسبه نمود؟,در محاسبه ماليات و بيمه، تنها مزايا در نظر گرفته مي شوند. چرا كه ممكن است تمام مبلغ مزايا به عنوان كسور  براي مثال: مساعده  قبلا پرداخت شده باشد و در چنين شرايطي بيمه و ماليات محاسبه شده عدد  0  خواهد بود. كه اين روال صحيح نيست.,محاسبات حقوق,Payroll/Calculation,0
33,1992,0,آيا ميتوان تنظيم نمود حساب معين  حقوق و دستمزد پرداختني  در سند حسابداري حقوق به تفكيك كارمندان صادر نگردد؟,مي بايست در تنظيمات حقوق و دستمزد، از تب ساير  يك حساب معين بدون ويژگي  تفصيل پذير  را براي حساب حقوق پرداختني تعيين نمود.,محاسبات حقوق,Payroll/Calculation,0
34,1991,0,مبلغ برخي از عوامل به طور كامل و بدون در نظر گرفتن فرمول تعريف شده در تنظيم عوامل محاسبه ميشود. علت چيست؟,در فرم تنظيم عوامل، براي عامل مورد نظر، تيك  محاسبات كامل با كمترين مقدار كاركرد  فعال است. از اين رو كاركرد بر محاسبه اين عوامل موثر نبوده و مبلغ به طور كامل محاسبه ميشود.,محاسبات حقوق,Payroll/Calculation,0
35,1994,0,چرا در محاسبه عيدي سال 95 معافيت مالياتي بيشتر از 1300000 اعمال ميشود؟,در صورت بروز رساني به نسخه 4.8.8 مشكل مرتفع ميشود.,محاسبات حقوق,Payroll/Calculation,0
36,1930,0,آيا ميتوان در محاسبه سنوات سال هاي كبيسه، مخرج را به 366  تغيير داد؟,خير. در محاسبه سنوات همواره تعداد روزهاي سنوات تقسيم بر 365 ميشود.,محاسبات حقوق,Payroll/Calculation,0
37,2205,0,قبل از محاسبه  پرداخت عيدي  به چه پيش نياز هايي مي بايست توجه داشت؟,*پيش نياز هاي كلي:   1- تعريف اطلاعات استقرار (در صورت وجود)   2- از منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت عمليات گزينه  تنظيمات حقوق و دستمزد  را انتخاب كرده و از سربرگ  عيدي  عوامل و كاركرد موثر در محاسبه عيدي را تنظيم شده باشد.   3- محاسبات  حقوق ماهيانه  كارمند صورت گرفته باشد.,محاسبات حقوق,Payroll/Calculation,0
38,2240,0,چگونه ميتوان حساب معين مربوط به  سنوات  را تغيير داد؟,از منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت عمليات گزينه  تنظيمات حقوق و دستمزد  را انتخاب نمائيد.   در صفحه باز شده از سربرگ  سنوات  حساب معين را انتخاب كرده و در نهايت فرم را ذخيره نمائيد. سپس اقدام به ثبت سند حسابداري نماييد.,محاسبات حقوق,Payroll/Calculation,0
39,2101,0,چه عواملي مبناي محاسبه  بازخريد سنوات  مي باشند؟,مبنا و متغير هاي لازم جهت محاسبه  بازخريد سنوات  به شرح ذيل مي باشد:   1- از منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت عمليات گزينه  تنظيمات حقوق و دستمزد  را انتخاب نمائيد.   2- در صفحه باز شده از سربرگ  سنوات  مي توان از سربرگ هاي  عوامل موثر در مبناي سنوات  و  كاركرد هاي موثر در محاسبه روز هاي سنوات  مي توان مبناي محاسبه  بازخريد سنوات  را تعيين نمود.,محاسبات حقوق,Payroll/Calculation,0
40,2051,0,در محاسبات ماليات، مبلغ ماليات يك ريال كمتر نمايش داده ميشود . علت چيست ؟,اگر مورد از رندي نباشد بايد جهت بررسي به تيم فني ارجاع داده شود .,محاسبات حقوق,Payroll/Calculation,0
41,2147,0,چگونه ميتوان تغيير شعبه تامين اجتماعي كارمند را انجام داد؟   محاسبات پايان كار به چه صورت خواهد بود؟,به اقتضاي شرايط كاري، در صورتي كه كارمند در اواسط سال مالي، مجبور به تغيير شعبه تامين اجتماعي گردد مي بايست به روش ذيل عمل نمود:   مرحله اول:   1- در منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت فهرست گزينه  قرارداد  را انتخاب نمائيد.   2- در صفحه باز شده بر روي آخرين قرارداد كارمند كليك راست كرده  ويرايش  را انتخاب نمائيد.   3- در فرم قرارداد از قسمت  تاريخ پايان خدمت  تاريخ ترك كار كارمند از شعبه قبلي را يادداشت نمائيد.   **نكته: تاريخ ترك كار كارمند در ليست بيمه يك روز بعد از تاريخ وارد شده در  تاريخ پايان خدمت  در قرارداد درج خواهد شد.   4- سپس مي بايست محاسبات مربوط به حقوق ماهيانه، ذخيره مرخصي و ذخيره سنوات را از فرم محاسبات انجام داد.  مرحله دوم:   1- در منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت عمليات گزينه  قرارداد جديد  را انتخاب نمائيد.   2- در صفحه جاري قرارداد جديد كارمند را با نوع قرداد  استخدام  و شعبه بيمه جديد تعريف نمائيد.,محاسبات حقوق,Payroll/Calculation,0
42,2202,0,چگونه ميتوان براي برخي از پرسنل، عيدي را با ضريب متفاوت محاسبه كرد؟,از منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت عمليات گزينه  تنظيمات حقوق و دستمزد  را انتخاب نمائيد.   در صفحه باز شده از سربرگ  عيدي  قسمت مربوط به  ضريب مبناي عيدي  عدد مورد نظر را قرار يادداشت نمائيد سپس محاسبات عيدي پرسنل مورد نظر را انجام دهيد.   سپس جهت محاسبه عيدي با ضريب ديگر مجدد در تنظيمات حقوق و دستمزد تب عيدي ضريب را 2 گذاشته و محاسبات عيدي ديگر پرسنل را انجام دهيد.,محاسبات حقوق,Payroll/Calculation,0
43,1912,0,چگونه ميتوان يك عامل حقوق را بدون در نظر گرفتن كاركرد محاسبه نمود؟,از منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت عمليات گزينه  تنظيم عوامل  را انتخاب نمائيد.   در صفحه باز شده در سطر عامل حقوق مورد نظر، گزينه  محاسبه كامل با كمترين مقدار كاركرد مرتبط  فعال كرده و فرم را ذخيره نمائيد.,محاسبات حقوق,Payroll/Calculation,0
44,1908,0,مانده مرخصي منفي چگونه محاسبه ميگردد؟,مي بايست مبلغ مانده مرخصي (منفي) به صورت دستي محاسبه شده و در كسورات ماه مورد نظر لحاظ ميشود.  كسور تعريف شده مي تواند به صورت دستي و محاسباتي لحاظ شود.  اگر كسور محاسباتي باشد بايد يك عامل از نوع كاركرد تعريف كرد تا ميزان مرخصي منفي در اين عامل وارد شده و در فرمول دخيل شود.( در واقع دو تا عامل كاركرد دستي و كسور محاسباتي تعريف مي شود),محاسبات حقوق,Payroll/Calculation,0
45,1915,0,هنگام محاسبه  پرداخت عيدي  پيغام    تعداد روزهاي عيدي مشخص نشده است  بيانگر چيست؟,بعد از انتخاب گزينه محاسبه در صفحه  محاسبات  در صفحه دوم باز شده گزينه  به روز رساني روزهاي عيدي  انتخاب نشده است.,محاسبات حقوق,Payroll/Calculation,0
46,1892,0,چگونه ميتوان حساب معين مربوط به  رند حقوق  را تعيين نمود؟,از منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت عمليات گزينه  تنظيمات حقوق و دستمزد  را انتخاب نمائيد.   در صفحه باز شده از سربرگ  ساير   حساب معين رند حقوق  را تعيين كرده و در نهايت فرم را ذخيره نمائيد. سپس اقدام به ثبت سند حسابداري نماييد.,محاسبات حقوق,Payroll/Calculation,0
47,1860,0,آيا اصلاح قرارداد روي محاسبات قبلي تاثير گذار است؟,خير,محاسبات حقوق,Payroll/Calculation,0
48,1808,0,در ليست بيمه براي برخي از كارمندان تاريخ ترك كار مشاهده مي شود. علت چيست؟,1- در قرارداد كار، تاريخ ترك كار ثبت نشده است.  2- در صورتي كه بعد از انجام محاسبات، تاريخ ترك كار در قرارداد ثبت شود، در ليست بيمه تاريخ ترك كار درج نميشود. براي اصلاح، محاسبات را برگشت زده و مجدد انجام دهيد.,محاسبات حقوق,Payroll/Calculation,0
49,1757,0,چگونه ميتوان در محاسبه  پرداخت عيدي  تعداد روز هاي محاسبه را دستي وارد نمود؟,جهت محاسبه  عيدي  با تعداد روز دستي مي بايست به ترتيب مراحل ذيل عمل نمود:   1- در منوي عمودي وارد سيستم  حقوق و دستمزد  شده و از قسمت عمليات گزينه  محاسبات  را انتخاب كرده و در صفحه باز شده از بالاي صفحه نوع محاسبات را  پرداخت عيدي  انتخاب نمائيد.   2- از بالاي صفحه اطلاعات (سال/ماه) را درج كرده سپس گزينه  به روز رساني ليست  را انتخاب نمائيد.   3- در اين قسمت ميتوان با استفاده از گزينه انتخاب چندگانه، كارمند مورد محاسبه را انتخاب كرده و در نهايت با استفاده از كليد ميانبر F3 يا از بالاي صفحه گزينه محاسبه را انتخاب نمود.   4- در كادر باز شده گزينه  تعداد روز معين  را انتخاب كرده و پس از وارد كردن تعداد روز معين گزينه  به روز رساني روزهاي عيدي  را انتخاب كرده و در نهايت گزينه  ادامه را انتخاب نمائيد.,محاسبات حقوق,Payroll/Calculation,0
